Planeta,Massa do Planeta,Raio do Planeta,Densidade,Semi-eixo,Velocidade de Escape,Gravidade,Periodo Orbital,Excentricidade,Temperatura da Estrela,Massa da Estrela,Raio da Estrela,Metalicidade,Insolacao,Luminosidade,Luminosidade UV,Luminosidade Raios-X,Tem Atmosfera,Zona Venus,Zona Habitavel,Zona Marte,Zona Habitavel UV,Zona Muito UV,Zona Habitavel Raios-x,Ar Escapa,C Escapa,CH4 Escapa,CO Escapa,CO2 Escapa,H2 Escapa,H2O Escapa,He Escapa,N Escapa,N2 Escapa,O Escapa,O2 Escapa,n,Omega,Acoplado por Marés,Aquecido por marés,Grupos
Kepler-783 b,0.3984284852679447,0.78,4.613558131474315,0.050459535331086,7990.355273541668,6.416766808760983,4.29264638,0.01,5521.0,0.93,0.89,0.01,259.19154803235926,0.6599443716492062,6.47761034120536e+30,2.538146053362847e+30,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,1.69411383282555e-05,0.0001575756927897,True,True,Mércurios Análogos Aquecidos Por Marés
Kepler-80 f,2.0258742420954694,1.21,6.283849812216286,0.0175,14466.109796708091,13.558037287615116,0.9867873,0.01,4540.0,0.73,0.678,0.04,555.1034194796297,0.1700004222156366,1.03996712873409e+29,6.538216238413384e+29,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,7.348892114612623e-05,0.0001009741895782,True,False,Mércurios Análogos
Kepler-80 g,1.5724861453708991,1.13,5.98853955070648,0.14,13188.408572710208,12.066602954047548,14.64558,0.01,4540.0,0.83,0.678,0.04,8.9347633746175,0.175121362142503,1.03996712873409e+29,6.735167588000665e+29,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,3.46309123562736e-06,0.0001710665440271,True,False,Vênus Análogos
Kepler-804 c,1.624645861691495,1.14,6.025784272204238,0.0890184866687169,13346.43050809464,12.24909739848551,9.65185017,0.01,5817.0,1.01,1.05,0.0,142.84688257118296,1.1319602614784217,1.9518400604849847e+31,4.3535191656460096e+30,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,7.534546727498848e-06,0.0001669912206525,True,True,Mércurios Análogos Aquecidos Por Marés
Kepler-806 b,1.624645861691495,1.14,6.025784272204238,0.0786240463447224,13346.43050809464,12.24909739848551,8.09219642,0.01,5770.0,0.99,1.16,0.0,216.35392428884063,1.3374438515094522,1.6444973343499704e+31,5.143809052905353e+30,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,8.986721569536496e-06,0.0001655376662444,True,True,Mércurios Análogos Aquecidos Por Marés
Kepler-81 d,2.0258742420954694,1.21,6.283849812216286,0.128,14466.109796708091,13.558037287615116,20.837846,0.01,4500.0,0.648,0.595,-0.2,7.945484316368966,0.1301788150393891,8.626771421320453e+28,5.006677226414906e+29,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,3.50017930082854e-06,0.0001710294207282,True,False,Vênus Análogos
Kepler-826 b,2.285209254146069,1.25,6.429324707277705,0.054121700736106,15116.323634459368,14.330489658156182,4.48758907,0.01,6079.0,1.05,1.15,-0.12,552.8886958934642,1.619498617915753,4.949198450440649e+31,6.228591684503986e+30,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,1.620520840384994e-05,0.0001583123218475,True,False,Mércurios Análogos
Kepler-847 b,1.845991328851023,1.18,6.173807153884826,0.032449089334158,13983.37567721924,12.99034615870718,2.343231895,0.01,4940.0,0.83,0.77,0.15,300.7049293321206,0.3166252702715988,6.187470783610787e+29,1.2177407894645694e+30,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,3.1035048756870764e-05,0.0001434683931462,True,False,Mércurios Análogos
Kepler-85 d,1.9645535631103368,1.2,6.247259713741724,0.13,14304.725059497669,13.367693032134737,17.91323,0.01,5436.0,0.95,0.893,0.0,36.94794877819039,0.6244203343514176,4.667689333025258e+30,2.401520605915552e+30,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,4.140605243975871e-06,0.0001703883863804,True,False,Mércurios Análogos
Kepler-865 c,0.6494647434973744,0.89,5.062382837295369,0.061,9550.387379187356,8.033978197915404,6.20920207,0.0,5440.0,0.782,0.885,-0.24,165.30226243097084,0.6150897185056426,4.7407686435059286e+30,2.3656350573727017e+30,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,True,False,True,False,1.168758738055447e-05,0.0001628453378188,True,False,Mércurios Análogos
Kepler-882 b,2.15269198691123,1.23,6.356762486455347,0.0475330559615179,14790.28668864368,13.942053768865232,3.989539666,0.01,5476.0,0.9,0.87,-0.03,270.120234123661,0.6103073363870894,5.449389385006368e+30,2.347242015744746e+30,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,1.8228247416363167e-05,0.000156287360948,True,False,Mércurios Análogos
Kepler-884 b,2.15269198691123,1.23,6.356762486455347,0.0624465748732742,14790.28668864368,13.942053768865232,5.69919514,0.01,5715.0,1.0,0.94,0.05,216.75031037292,0.8452340294525875,1.3433305065275226e+31,3.250770077274652e+30,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,1.2760102843275032e-05,0.0001617607002584,True,True,Mércurios Análogos Aquecidos Por Marés
Kepler-887 c,1.5724861453708991,1.13,5.98853955070648,0.080442478815159,13188.408572710208,12.066602954047548,7.63846023,0.01,6194.0,1.19,1.29,0.08,339.42956107919383,2.1964461093752674,7.352444680187572e+31,8.447531736657278e+30,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,9.520546540037913e-06,0.0001650033341401,True,True,Mércurios Análogos Aquecidos Por Marés
Kepler-889 b,1.3759943766207683,1.09,5.838571326520203,0.0493013317171767,12561.262210990462,11.347984792374897,3.744439,0.01,5961.0,1.14,1.25,0.19,727.8393636696653,1.7691018669278813,3.271446730759224e+31,6.803965780204631e+30,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,True,False,True,False,1.942141829909529e-05,0.0001550930565529,True,False,Mércurios Análogos
Kepler-907 b,1.9645535631103368,1.2,6.247259713741724,0.1267913598971272,14304.725059497669,13.367693032134737,15.86621821,0.01,6106.0,1.08,1.38,-0.15,147.6598355356036,2.373786743216465,5.434800606688673e+31,9.129583814410524e+30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,4.5834687982498425e-06,0.0001699451021058,True,False,Mércurios Análogos
Kepler-953 c,1.904599038342517,1.19,6.210579156511381,0.0839220094444637,14143.812829725002,13.178461734823795,9.10967112,0.01,5416.0,0.95,0.99,0.26,107.37164111294769,0.7562081251620473,4.318105093188346e+30,2.9083764493732337e+30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,7.982979314289724e-06,0.0001665423620547,True,True,Mércurios Análogos Aquecidos Por Marés
Kepler-969 c,0.9634608104380268,0.99,5.456295657279357,0.0269322865556098,11029.037937457722,9.632050410019012,1.682934604,0.01,5214.0,0.92,0.82,0.22,614.3582381633865,0.4456235556521913,1.9348713175406185e+30,1.7138681950383278e+30,False,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,True,False,4.321161139731828e-05,0.0001312802627712,True,False,Mércurios Análogos
L 98-59 b,0.4,0.85,3.579090162787845,0.02191,7669.353106326027,5.424718689920812,2.2531136,0.103,3415.0,0.273,0.303,-0.46,23.497694054050484,0.0112800233850282,2.54221193526754e+26,4.338296993881857e+28,False,True,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,True,False,3.208000429921518e-05,0.0001392197216269,True,False,Mércurios Análogos
LHS 1478 b,2.33,1.242,6.682832228969028,0.01848,15312.826557441336,14.800207739484298,1.9495378,0.01,3381.0,0.236,0.246,-0.13,20.936595682120444,0.0071500651660392,2.057946150583914e+26,2.7499150628586857e+28,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,3.850571513155479e-05,0.0001359906296385,True,False,Vênus Análogos
